GEOID,median_hh_income,total_population,pop_25_54,share_25_54
25025081302,28827.0,2362,774,0.327688399661304
25025081400,70385.0,3424,943,0.2754088785046729
25025081500,67417.0,2718,811,0.2983811626195732
25025081700,31007.0,3862,1191,0.30838943552563436
25025081800,48011.0,3117,671,0.21527109400064165
25025081900,66118.0,3142,890,0.2832590706556333
25025082000,73414.0,3476,1179,0.3391829689298044
25025082100,29205.0,5980,1932,0.3230769230769231
25025090100,35781.0,5345,1498,0.2802619270346118
25025090200,41068.0,2943,832,0.28270472307169553
25025090300,36103.0,3535,1112,0.3145685997171146
25025090400,59972.0,3711,966,0.2603071948261924
25025090600,67591.0,2408,780,0.3239202657807309
25025090700,79177.0,4111,1723,0.41911943566042326
25025090901,46308.0,3087,862,0.27923550372529965
25025091001,86744.0,3064,1271,0.4148172323759791
25025091100,111549.0,4367,2054,0.47034577513166936
25025091200,64844.0,2976,1044,0.35080645161290325
25025091300,44960.0,2469,685,0.2774402592142568
25025091400,56063.0,3052,917,0.30045871559633025
25025091500,59720.0,3412,1340,0.39273153575615477
25025091600,44590.0,2497,618,0.24749699639567482
25025091700,68114.0,3292,759,0.23055893074119077
25025091800,66714.0,3721,1250,0.33593120128997583
25025091900,58750.0,4662,1760,0.37752037752037754
25025092000,61250.0,5751,2177,0.37854286211093724
25025092101,59286.0,6462,2027,0.3136799752398638
25025092200,109250.0,3500,1127,0.322
25025092300,71800.0,3857,1051,0.2724915737619912
25025092400,36635.0,6136,1413,0.23028031290743156
25025100100,41909.0,6716,1734,0.2581893984514592
25025100200,61850.0,3567,1034,0.2898794505186431
25025100300,84500.0,3931,1027,0.2612566776901552
25025100400,103651.0,5228,1411,0.2698928844682479
25025100500,58828.0,7627,2174,0.28503998951094794
25025100601,115536.0,6521,2224,0.3410519858917344
25025100603,118750.0,2129,935,0.439173320807891
25025100700,138736.0,4541,1620,0.3567496146223299
25025100800,82238.0,5961,1904,0.3194094950511659
25025100900,106851.0,4440,1673,0.3768018018018018
25025101001,88964.0,6346,2100,0.3309171131421368
25025101002,51243.0,6256,1603,0.2562340153452685
25025101101,70655.0,4045,1427,0.35278121137206425
25025101102,44606.0,5167,1674,0.32397909812270176
25025110104,54934.0,1966,747,0.3799593082400814
25025110105,145700.0,2677,1516,0.5663055659320134
25025110106,102404.0,1707,634,0.37141183362624486
25025110201,77171.0,2432,636,0.26151315789473684
25025110301,102008.0,2621,844,0.322014498283098
25025110401,84302.0,3712,1133,0.3052262931034483
25025110403,128512.0,4868,1431,0.2939605587510271
25025110501,144643.0,3230,1097,0.3396284829721362
25025110502,113972.0,4019,1619,0.40283652649912915
25025110601,145800.0,3009,492,0.16350947158524426
25025110607,145795.0,5271,1799,0.34130146082337315
25025120103,211731.0,1682,631,0.3751486325802616
25025120104,121583.0,2341,1119,0.47800085433575396
25025120105,178594.0,2471,415,0.1679481991096722
25025120201,98929.0,4459,2537,0.5689616505943037
25025120301,114627.0,4929,2108,0.4276729559748428
25025120400,145543.0,6598,2972,0.45043952712943314
25025120500,143393.0,2688,1213,0.45126488095238093
25025120600,146806.0,2732,1410,0.5161054172767203
25025120700,114940.0,2107,914,0.4337921214997627
25025130101,145881.0,6060,1985,0.32755775577557755
25025130200,149018.0,4429,1265,0.28561752088507564
25025130300,151480.0,4347,1175,0.270301357257879
25025130402,92636.0,5266,1238,0.2350930497531333
25025130404,112639.0,3108,887,0.2853925353925354
25025130406,52616.0,5824,1826,0.3135302197802198
25025140102,122990.0,5457,1427,0.26149899212021255
25025140105,79375.0,3592,910,0.25334075723830735
25025140106,35333.0,2202,582,0.26430517711171664
25025140107,97344.0,3065,977,0.31876019575856446
25025140201,107882.0,2668,980,0.36731634182908546
25025140202,130459.0,6192,2056,0.33204134366925064
25025140300,87364.0,7857,2506,0.31895125365915744
25025140400,79681.0,9131,2820,0.3088380243127806
25025160102,64605.0,3543,1171,0.33051086649731864
25025160103,76685.0,4845,1239,0.25572755417956655
25025160200,70672.0,4545,1595,0.3509350935093509
25025160300,55433.0,2083,727,0.34901584253480555
25025160400,77695.0,3281,1420,0.43279487960987506
25025160501,74964.0,6283,2158,0.3434664968963871
25025160502,59318.0,5464,1581,0.2893484626647145
25025160601,80509.0,4709,1934,0.4107029093225738
25025160602,71667.0,5137,1729,0.336577769125949
25025170101,77379.0,3690,1116,0.3024390243902439
25025170102,92129.0,5384,1786,0.3317236255572065
25025170200,52705.0,5137,1324,0.25773797936538834
25025170301,93411.0,6744,2176,0.32265717674970346
25025170302,104038.0,4046,1770,0.4374691052891745
25025170400,80591.0,5184,1283,0.2474922839506173
25025170502,63884.0,3497,747,0.21361166714326565
25025170503,90724.0,1528,397,0.25981675392670156
25025170504,126471.0,3127,1446,0.4624240486088903
25025170601,98202.0,6347,2089,0.32913187332598076
25025170701,93875.0,2387,978,0.4097193129451194
25025170702,60811.0,7350,2616,0.35591836734693877
25025170800,65786.0,6156,1980,0.3216374269005848
25025180101,92554.0,5489,1475,0.2687192566952086
25025180200,76274.0,4548,989,0.21745822339489887
25025180301,124167.0,2888,544,0.1883656509695291
25025180400,115679.0,2075,903,0.4351807228915663
25025180500,102214.0,4031,1187,0.2944678739766807
25025980101,,356,202,0.5674157303370787
25025980300,,287,88,0.30662020905923343
25025980700,,1,0,0.0
25025980900,108750.0,30,25,0.8333333333333334
25025981000,,30,30,1.0
25025981100,,91,49,0.5384615384615384
25025981201,,0,0,
25025981202,,109,45,0.41284403669724773
25025981300,245000.0,23,4,0.17391304347826086
25025981501,,0,0,
25025981502,,0,0,
25025981600,,0,0,
25025981700,,0,0,
25025981800,,46,13,0.2826086956521739
25025981900,,0,0,
25025990101,,0,0,
