GEOID,total_population,median_hh_income,total_stops,has_rapid_transit,total_pois,pillar1_transit,pillar2_demographics,pillar3_poi_density,cvi_score,demand_score,supply_score,gap_score
25025000807,3079,86250.0,5,1,16,0.7130633917717275,0.21725625705370255,0.8781195891376959,76.4,0.46515982441271503,0.5181386581216462,-8.2
25025010103,3397,39886.0,13,1,35,0.8611066679867135,0.196115319086803,0.6280640485223619,71.7,0.5286109935367582,0.6553547045867342,-19.6
25025010104,4791,63594.0,9,1,37,0.8023168909866576,0.33145508938666507,0.6100449795653711,75.0,0.5668859901866613,0.6652425294962553,-15.2
25025010204,3354,58438.0,6,1,22,0.7399972160374537,0.2569029761605262,0.7773779614622198,75.3,0.49845009609898994,0.5734198481727457,-11.6
25025010205,4036,72105.0,0,0,57,0.0,0.45203454221688094,0.46911880331944855,31.5,0.22601727110844047,0.7425746801869482,-80.1
25025010206,2218,64141.0,0,0,24,0.0,0.34079324778580816,0.7495892398316595,38.5,0.17039662389290408,0.588668694525365,-64.8
25025010300,4769,69861.0,3,0,16,0.2422189038985198,0.2727543174599592,0.8781195891376959,53.9,0.2574866106792395,0.5181386581216462,-40.4
25025010403,2665,36928.0,0,0,43,0.0,0.24999188105638434,0.5611862061952271,24.8,0.12499594052819217,0.6920534039943258,-87.9
25025010404,4585,34931.0,2,0,24,0.1919539398224677,0.23641804837665334,0.7495892398316595,43.3,0.21418599409956052,0.588668694525365,-58.0
25025010405,5921,20000.0,15,1,30,0.8844378077970396,0.24722222102522318,0.6778987276935384,78.0,0.5658300144111315,0.628008309318316,-9.6
25025010408,1349,75372.0,0,0,0,0.0,0.32065484999657773,0.20084962280185914,11.9,0.16032742499828886,0.0,24.8
25025010500,3330,54020.0,2,0,29,0.1919539398224677,0.3007286216243913,0.6888266441770107,43.9,0.24634128072342948,0.6220116995560496,-58.2
25025010600,3174,98472.0,7,1,108,0.7633283558477797,0.37558978745454114,0.258856131758734,59.0,0.5694590716511604,0.8579546971213912,-44.7
25025010701,2314,143077.0,4,1,212,0.6812074390373977,0.4210401910324654,0.035582733241957265,46.6,0.5511238150349316,0.9804742499771515,-66.5
25025010702,2084,160057.0,9,1,236,0.8023168909866576,0.4010524325218178,0.0,50.4,0.6016846617542377,1.0,-61.7
25025010801,2730,160000.0,0,0,1,0.0,0.43729054392827155,0.43185588778851425,29.0,0.21864527196413577,0.1267629036018709,14.2
25025010802,3316,146797.0,2,0,6,0.1919539398224677,0.4651086255087642,0.8493661978382886,60.3,0.32853128266561593,0.3558684613610259,-4.2
25025020101,4041,186477.0,0,0,72,0.0,0.5192602191441394,0.3924608610971352,31.6,0.2596301095720697,0.7846401338698007,-81.4
25025020200,3132,111622.0,1,0,32,0.1211094519492599,0.44976811440817643,0.6570624687330344,46.7,0.2854387831787182,0.6394420454820802,-54.9
25025020301,2356,106593.0,3,1,19,0.6422189038985198,0.4088288801466393,0.8239566466258585,80.4,0.5255238920225795,0.5478601544664242,-3.5
25025020302,1031,129792.0,0,0,14,0.0,0.40312530077886405,0.9198329091636659,49.8,0.20156265038943202,0.49524879595417864,-45.5
25025020304,1200,185350.0,6,1,33,0.7399972160374537,0.5125556641172028,0.6471133241510407,83.1,0.6262764400773282,0.6449015617235171,-2.9
25025020305,3950,114211.0,9,1,28,0.8023168909866576,0.42714276100751397,0.7001250683061035,84.3,0.6147298259970858,0.6158117765850774,-0.2
25025030100,2188,103500.0,0,0,5,0.0,0.368473306121294,0.7979921552240172,42.3,0.184236653060647,0.3276773522933671,-22.2
